"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\AngularProject\Polerace\src\app\Platform\home\components\resources\resources.component.html", "HTML", 0, 29, 0, 3, 17, 49
"d:\AngularProject\Polerace\src\app\Platform\home\components\resources\resources.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\resources\resources.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\resources\resources.component.ts", "TypeScript", 29, 0, 0, 0, 5, 34
"d:\AngularProject\Polerace\src\app\Platform\home\components\sitemap\sitemap.component.html", "HTML", 0, 157, 0, 3, 25, 185
"d:\AngularProject\Polerace\src\app\Platform\home\components\sitemap\sitemap.component.scss", "SCSS", 0, 0, 3, 0, 1, 4
"d:\AngularProject\Polerace\src\app\Platform\home\components\sitemap\sitemap.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\sitemap\sitemap.component.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"d:\AngularProject\Polerace\src\app\Platform\home\components\solutions\solutions.component.html", "HTML", 0, 29, 0, 3, 17, 49
"d:\AngularProject\Polerace\src\app\Platform\home\components\solutions\solutions.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\solutions\solutions.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\solutions\solutions.component.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"d:\AngularProject\Polerace\src\app\Platform\home\components\subscription\subscription.component.html", "HTML", 0, 67, 0, 3, 15, 85
"d:\AngularProject\Polerace\src\app\Platform\home\components\subscription\subscription.component.scss", "SCSS", 0, 0, 17, 0, 2, 19
"d:\AngularProject\Polerace\src\app\Platform\home\components\subscription\subscription.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\subscription\subscription.component.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"d:\AngularProject\Polerace\src\app\Platform\home\components\terms\terms.component.html", "HTML", 0, 27, 0, 3, 17, 47
"d:\AngularProject\Polerace\src\app\Platform\home\components\terms\terms.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
